QuotesID,Category,Quotes,Authors
20,Data Science,"“In my view, success for data science professionals relies on becoming trained and able data scientists with the ability to perform data processing and computation at a massive scale. To achieve this, professionals must invest time in ongoing education through institutions with multidisciplinary programs that include elements from engineering, mathematical sciences, and social sciences. Converting big data into meaningful information begins with skilled professionals who are educated in all disciplines to be both data scientists and statisticians.”",Devavrat Shah
21,Data Science,“There is no bottleneck for data scientists… The bottleneck is very often for companies who don’t have a culture of working with data to actually cut down the process into the right steps.”,Lutz Finger
22,Data Science,"“Once you have a certain amount of math/stats and hacking skills, it is much better to acquire a grounding in one or more subjects than in adding yet another programming language to your hacking skills, or yet another machine learning algorithm to your math/stats portfolio…. Clients will rather work with some data scientist A who understands their specific field than with another data scientist B who first needs to learn the basics―even if B is better in math/stats/hacking.”",Stephan Kolassa
23,Analytics,"“Different verticals need different terminal retention rates for them to have successful businesses. If you’re on e-commerce and you’re retaining on a monthly active basis, like 20 to 30% of your users, you’re going to do very well. If you’re on social media, and the first batch of people signing up to your product are not like, 80% retained, you’re not going to have a massive social media site. [...] What you need to do is have the tools to think, ‘who out there is comparable’ and how you can look at it and say, ‘am I anywhere close to what real success looks like in this vertical?’”",
24,Analytics,"“Tracking marketing is a cultural thing. Either tracking matters or it doesn’t. You’re in one camp or the other. Either you’re analytical and data-driven, or you go by what you think works. People who go by gut are wrong.”",
24,Analytics,"“Time and money are your scarcest resources. You want to make sure you’re allocating them in the highest-impact areas. Data reveals impact, and with data, you can bring more science to your decisions.”",
24,Analytics,"“Have a vision for what you are trying to do. Use data to validate and help you navigate that vision, and map it down into small enough pieces where you can begin to execute in a data-informed way. Don’t let shallow analysis of data that happens to be cheap/easy/fast to collect nudge you off-course in your entrepreneurial pursuits.”",
24,Analytics,"“Execution is so critical. Sometimes you just need to try something, see what works and move forward.”",
24,Analytics,"“When we initially started testing email subject lines, we defined the success criteria as driving an email open. This seemed to be the most straightforward since the Pinner reads the email subject line and the next action is to either open it or don’t. What we found, however, was that defining success with metrics that were further downstream (i.e. clicking on the content in the email) was more effective.”",
24,Analytics,"“If there’s one takeaway it’s that it’s okay to do small wins. Small wins are good, they will compound. If you’re doing it right the end result will be massive.”",
24,Analytics,"“The most important thing we've done to improve our user onboarding was to define our activation metric and get serious about tracking the inputs to that metric. Agreeing on what a successfully ""activated"" account looked like, and understanding all the individual actions to get there, allowed us to take our new user onboarding to the next level. We formed a cross-functional team dedicated to increasing that metric. The team is able to clearly prioritize ideas and projects since we all agree what success looks like. That activation metric is paying huge dividends to our users and our company.”",
24,Analytics,“There’s more objectivity in one customer sharing their passion and love for a product with another than there is in ads or promotion. It allows the company to spend less to achieve lasting growth.”,
24,Analytics,"“You can’t run a business today without data. But you also can’t let the numbers drive the car. No matter how big your company is or how far along you are, there’s an art to company-building that won’t fit in any spreadsheet.”",
24,Analytics,"“As you gain fresh insight from your data, it opens the door to new questions. As you have new questions, you need to update your instrumentation and analysis. Saying the process is “done” is saying you understand everything there is to know about your users, product, and channels.”",
24,Analytics,"“Analytics software is uniquely leveraged. Most software can optimize existing processes, but analytics (done right) should generate insights that bring to life whole new initiatives. It should change what you do, not just how you do it.”",
24,Analytics,"“If you pick the right metrics for success, you will be able to significantly improve the focus of the whole team and thus improve your business. Developing these metrics should be done first by making hypotheses about your business and validating / invalidating these hypotheses. From there you will have a good base understanding that will allow you to determine what metrics to focus on and how to define success for your business.”",
24,Analytics,"“The goal is to turn data into information, and information into insight.”",
24,Analytics,"“You want everyone to be able to look at the data and make sense out of it. It should be a value everyone has at your company, especially people interfacing directly with customers. There shouldn’t be any silos where engineers translate the data before handing it over to sales or customer service. That wastes precious time.”",
24,Analytics,"“We’ve tried to put passion and art and love and creativity ahead of revenue and valuation and buzz and traction, discovering that the latter can often follow the former.”",
24,Analytics,"“Of course hard numbers tell an important story; user stats and sales numbers will always be key metrics. But every day, your users are sharing a huge amount of qualitative data, too — and a lot of companies either don't know how or forget to act on it.”",
24,Analytics,"“We live in a time where data is all around us, and there’s a lot of great advice to show us how to make better use of data. However, I’ve found that in some cases this can be a huge waste of time, especially early on with your startup. Replace some of your current focus on quantitative data to qualitative data).”",
24,Analytics,"“The single most important thing we've done for onboarding is planning past the first session. Let's say you have a SaaS application and know that new users who take actions X, Y, and Z end up being really successful.",
24,Analytics,"“The problem with Silicon Valley is when you build an app you are expected to make the app go viral and reach millions of people. This is the worst way to think about it — it’s much better to get 100 people to love you. There was no way we could get 1M people on Airbnb, but we could get 100 people to love us. This is when we decided to do things that wouldn’t scale. Getting 100 people to love you is hard — getting people to like you is much easier than getting people to love you.”",
24,Analytics,"“I learned a lesson from watching other companies who held onto things too long. If you look at the history of companies that have succeeded and the ones that have failed, there’s a pretty clear pattern that the ones that have succeeded typically morph every couple of years into something new. And that change is fairly uncomfortable.”",
24,Analytics,"“[For early-stage startups,] data is never there when you need it most. At best, data can help you make very small, incremental decisions. But if you’re a startup, you’re focused on big, broad swings — and data has no place in that. You don’t have enough users to draw any meaningful conclusions, and even if you did those users aren’t necessarily representative of your long term target audience. You’ve got data, sure. But not enough to make a genuine, data-driven decision, and pretending otherwise is a recipe for disaster.”",
24,Analytics,“Use analytics to make decisions. I always thought you needed a clear answer before you made a decision and the thing that he taught me was [that] you’ve got to use analytics directionally…and never worry whether they are 100% sure. Just try to get them to point you in the right direction.”,
24,Analytics,“Your metrics influence each other. You need to monitor how. Don’t just measure which clicks generate orders. Back it up and break it down. Follow users from their very first point of contact with you to their behavior on your site and the actual transaction. You have to make the linkage all the way through.”,
24,Analytics,"“Merely measuring something has an uncanny tendency to improve it. If you want to make your user numbers go up, put a big piece of paper on your wall and everyday plot the number of users. You'll be delighted when it goes up and disappointed when it goes down. Pretty soon you'll start noticing what makes the number go up, and you'll start to do more of that. Corollary: be careful what you measure.”",
24,Analytics,“Your users are your guidepost. And the way you stay on the right path in the early stages of a startup is to build stuff and talk to users. And nothing else.”,
24,Analytics,"“For predictive analytics, we need an infrastructure that’s much more responsive to human-scale interactivity: What’s happening today that may influence what happens tomorrow? A lot of iteration needs to occur on a continual basis for the system to get smart, for the machine to “learn” — explore the data, visualize it, build a model, ask a question, an answer comes back, bring in other data, and repeat the process. The more real-time and granular we can get, the more responsive, and more competitive, we can be.”",
24,Analytics,“You must constantly try to disrupt yourself. The most successful companies embrace cannibalization at the core. [...]You need to innovate and be willing to threaten the core of your business in order to survive. Or you'll die!”,
24,Analytics,"“I often see teams that maniacally focus on their metrics around customer acquisition and retention. This usually works well for customer acquisition, but not so well for retention. Why? For many products, metrics often describe the customer acquisition goal in enough detail to provide sufficient management guidance. In contrast, the metrics for customer retention do not provide enough color to be a complete management tool. As a result, many young companies overemphasize retention metrics and do not spend enough time going deep enough on the actual user experience. This generally results in a frantic numbers chase that does not end in a great product.”",
24,Analytics,"“Don’t obsess over these sub metrics, but obsess over the key metrics that tie into your revenue growth. Everything can be measured, including engineering, PR, product and marketing. If you have your engineering team agree to measure the output of features quarter over quarter, you will get more features built. It’s just a fact. You have to measure every functional area. Measure them all and have everyone agree to the same growth goals to support your revenue, and magical things will happen.”",
24,Analytics,"“If an Internet company could obsess about only one metric, it should be conversion. No other metric so holistically captures as many critical aspects of a web site – user design, usability, performance, convenience, ad effectiveness, net promoter score, customer satisfaction – all in a single measurement. Yet despite the remarkable power of this metric, it is alarming how few companies today truly understand conversion and how to optimize it. As such, it is time to pound the table again – conversion is by far the most powerful Internet metric of all.”",
24,Analytics,"“You don’t need to learn what customers say they want; you need to learn how customers behave and what they need. In other words, focus on their problem, not their suggested solution.”",
24,Analytics,"“Data isn’t useful without the product context. Conversely, having only product context is not very useful without objective metrics...”",
24,Analytics,“Errors using inadequate data are much less than those using no data at all.”,
24,Analytics,"“When you are dealing with a torrent of data, being able to construct different levels of aggregation is really important, because you want to make sure you’ve used your software intelligently with respect to that large amount of data, and bring to bear the contextual data you need to answer the question at the level of aggregation that you need to answer it.”",
24,Analytics,"“If statistics are boring, you've got the wrong numbers”",
24,Analytics,“Data are just summaries of thousands of stories – tell a few of those stories to help make the data meaningful.”,
24,Analytics,"“[A data-first strategy] is the quest to implement systems (usually massive) to collect data of all shapes and manners before all else. [...]It is being hyper-conservative when it comes to creativity and experimentation because of quant-issues. It is represented by 90% of the data budget invested in Agencies and Consultants driving implementation and re-implementation and hyper-customization of the code. It is represented by the act of creating crazy data thresholds for any initiative to get off the ground. [...]  Data is important. I believe it can help drive your business strategy smartly. But, a data-first strategy, defined as above, is nuts. It will only slow down your progress and allow your competitors to crush you like a bug (even if you are a top player in your market today!).”“You can have data without information, but you cannot have information without data.”",
24,Analytics,"“A screen full of analytics data looks like a secret code, and in a way it is. That data has a lot of information in it, and it’s impossible to make sense of it without the key. Put another way, data can give answers, but only if you ask the right questions.""",
24,Analytics,"“The key is to let computers do what they are good at, which is trawling these massive data sets for something that is mathematically odd, and that makes it easier for humans to do what they are good at — explain those anomalies.”",
24,Analytics,“Data is a precious thing and will last longer than the systems themselves.”,
24,Analytics,"""One metric alone doesn’t tell you what’s happening with your site; as ever Analytics is about taking your data and outside influences (i.e. time of year) and building insights from all of it.”",
24,Analytics,"“In a marketing analytics worldview, companies must have an accounting of and insight into all of their marketing programs in all of their channels, including web/browser, mobile apps, TV/video, social, paid media, field, print, outdoor and others. If your organization is still stuck in the web analytics mindset, it is time to reinvent your analytics practice, leveraging all of the available marketing analytics tools to make faster and better decisions and drive your business.”",
24,Analytics,"“For every $20 you spend on web analytics tools, you should spend $80 on the brains to make sense of the data.”",
24,Analytics,“As a publicly-traded company you have to do a lot of long-term planning with respect to revenue. You have to become more predictable for investors. And revenue is tied to products that have to ship to meet projections.”,
24,Analytics,"“Data and A/B test are valuable allies, and they help us understand and grow and optimize, but they’re not a replacement for clear-headed, strong decision-making. Don’t become dependent on their allure. Sometimes, a little instinct goes a long way.”",
24,Analytics,"""About 10 years ago, a video went viral on YouTube showing a toddler holding a paper magazine and trying to use it like an iPad, swiping and pinching to zoom, and it didn’t work so she just looked at it thinking, ‘It must be broken.' It was obvious evidence of a new generation of digital natives. Today we’re witnessing a new revolution of data natives who expect their world to be ‘smart’ and seamlessly adapt to what they want.",
24,Analytics,"“The only thing that matters is getting to product/market fit. Product/market fit means being in a good market with a product that can satisfy that market. You can always feel when product/market fit isn’t happening. The customers aren’t quite getting value out of the product, word of mouth isn’t spreading, usage isn’t growing that fast, press reviews are kind of “blah”, the sales cycle takes too long, and lots of deals never close. And you can always feel product/market fit when it’s happening. The customers are buying the product just as fast as you can make it— or usage is growing just as fast as you can add more servers.”",
24,Analytics,"“A big theme that I keep coming back to is, where is the love? It’s basically just finding out which users are passionate about the product. What is the use case on the product that those people have? Why do they actually love the product? And that gives you a good core of information to guide every part of your business. So messaging, you want to reflect that, but also, now that you know that, you want to make sure that you can really get a lot more people to that particular type of use case and that particular type of gratifying experience. So understanding user gratification is really critical in all of it.”",
24,Analytics,"“In my time as a product manager, I was constantly reminding myself to talk to customers more. It might have been to talk about existing features, something under development, or customer pain and processes for product research. It was easy in the beginning, because we knew most of the people using the tool as we worked on the initial version. Even as we got bigger, my feelings usually boiled down to these four words: talk to customers more. I think a critical skill, however, is learning how to talk to the right customers.”",
,AI/ML,“Machine intelligence is the last invention that humanity will ever need to make.” ,
,AI/ML,"“In the long term, artificial intelligence and automation are going to be taking over so much of what gives humans a feeling of purpose.”",
,AI/ML,"“We are entering a new world. The technologies of machine learning, speech recognition, and natural language understanding are reaching a nexus of capability. The end result is that we’ll soon have artificially intelligent assistants to help us in every aspect of our lives.”",
,AI/ML,"“Artificial intelligence is growing up fast, as are robots whose facial expressions can elicit empathy and make your mirror neurons quiver.” ",
,AI/ML,"“I am telling you, the world’s first trillionaires are going to come from somebody who masters AI and all its derivatives,and applies it in ways we never thought of.” ",
,AI/ML,"“Predicting the future isn’t magic, it’s artificial intelligence.”",
,AI/ML,“Data is the new science. Big Data holds the answers.”,
,AI/ML,“In a few years artificial intelligence virtual assistants will be as common as the smart phone.” ,
,AI/ML,"“Artificial intelligence is here and being rapidly commercialized, with new applications being created not just for manufacturing but also for energy, healthcare, and oil and gas. This will change how we all do business.” ",
,AI/ML,“Data are becoming the new raw material of business.”,
,AI/ML,"“I visualize a time when we will be to robots what dogs are to humans, and I’m rooting for the machines.” ",
,AI/ML,"12.“The pace of progress in artificial intelligence (I’m not referring to narrow AI) is incredibly fast. Unless you have direct exposure to groups like Deepmind, you have no idea how fast—it is growing at a pace close to exponential. The risk of something seriously dangerous happening is in the five-year timeframe. 10 years at most.”",
,AI/ML,"13.“The upheavals [of artificial intelligence] can escalate quickly and become scarier and even cataclysmic. Imagine how a medical robot, originally programmed to rid cancer, could conclude that the best way to obliterate cancer is to exterminate humans who are genetically prone to the disease.” ",
,AI/ML,14.“The key to artificial intelligence has always been the representation.” ,
,AI/ML,"“It’s going to be interesting to see how society deals with artificial intelligence, but it will definitely be cool.”",
,AI/ML,"“Anything that could give rise to smarter-than-human intelligence—in the form of Artificial Intelligence, brain-computer interfaces, or neuroscience-based human intelligence enhancement – wins hands down beyond contest as doing the most to change the world. Nothing else is even in the same league.” ",
,AI/ML,"“Artificial intelligence is growing up fast, as are robots whose facial expressions can elicit empathy and make your mirror neurons quiver.” ",
,AI/ML,“A year spent in artificial intelligence is enough to make one believe in God.” ,
,AI/ML,“There is no reason and no way that a human mind can keep up with an artificial intelligence machine by 2035.” ,
,AI/ML,“Is artificial intelligence less than our intelligence?” ,
,AI/ML,"“By far, the greatest danger of Artificial Intelligence is that people conclude too early that they understand it.” ",
,AI/ML,“The sad thing about artificial intelligence is that it lacks artifice and therefore intelligence.” ,
,AI/ML,"“Forget artificial intelligence – in the brave new world of big data, it’s artificial idiocy we should be looking out for.”",
,AI/ML,“Before we work on artificial intelligence why don’t we do something about natural stupidity?” ,
